id,name,id_sub_genre
152,dub,12
154,dubstep,17
171,electropunk,26
173,emo pop,23
174,emocore,26
175,enka,27
179,eurodance,21
344,new jack swing,3
345,new romantic,24
346,new wave,12
348,no wave,24
349,noise,22
353,non-music,28
358,nu metal,25
377,pop soul,23
382,post-hardcore,26
387,power metal,25
397,psy-trance,20
402,psychobilly,26
409,ragga,8
452,southern soul,4
496,visual kei,27
63,breaks,12
208,gabber,12
4,acid techno,15
6,acoustic rock,24
7,afoxê,27
11,alternative folk,24
14,alternative pop,23
16,alternative rock,24
17,ambient,13
19,ambient house,13
20,ambient techno,13
23,aor,24
25,art pop,23
29,audiobook,28
30,avant-garde,24
33,avant-garde pop,23
35,bachata,27
36,ballad,28
37,barbershop,28
39,bass house,14
41,bebop,3
42,bhangra,27
68,bubblegum pop,23
69,cajun,27
70,calypso,27
73,cantopop,23
75,celtic,27
76,celtic punk,26
77,chachachá,27
78,chamber pop,23
83,chillout,12
84,chiptune,12
87,christmas music,23
88,chutney,27
89,city pop,23
91,classic country,24
92,classic jazz,3
93,classic rock,24
94,classical,27
96,club,12
97,comedy,28
99,compas,27
104,contemporary folk,27
105,contemporary gospel,11
107,contemporary r&b,2
108,contra,27
110,country,27
111,country blues,2
113,country pop,27
114,country rock,24
115,coupé-décalé,27
116,cowpunk,26
119,cumbia,27
120,cumbia villera,27
121,cyberpunk,12
122,d-beat,24
123,dance,10
127,dansband,27
128,dark ambient,13
132,death metal,25
134,deathcore,25
136,deathrock,24
138,delta blues,2
139,descarga,27
141,detroit techno,15
176,ethereal,24
178,eurobeat,12
180,europop,23
181,exotica,27
184,fado,27
185,filk,28
187,folk,27
189,folk pop,23
192,folktronica,12
194,free improvisation,28
195,free jazz,3
197,funk carioca,12
198,funk metal,25
200,funk soul,24
202,fusion,3
248,hi-nrg,12
250,hip hop,6
254,horror punk,26
256,house,14
257,idm,12
261,indie pop,23
169,electronicore,18
170,electropop,23
356,nu disco,12
357,nu jazz,12
361,oi,26
363,old-time,2
364,opera,28
367,p-funk,24
371,polka,27
419,reggae,8
420,reggaeton,8
423,rock,24
425,rockabilly,24
426,rocksteady,8
429,rumba,27
432,samba,27
5,acoustic blues,2
22,anarcho-punk,26
38,baroque,28
238,hardcore hip hop,6
249,hindustani classical,27
258,illbient,12
262,indie rock,24
280,jazz rap,3
293,latin pop,23
298,lo-fi hip hop,12
304,mainstream rock,24
314,melodic death metal,25
315,melodic metalcore,25
316,melodic rock,24
317,melodic trance,12
318,mento,27
319,merengue,27
321,metalcore,25
322,miami bass,12
323,microhouse,14
324,milonga,27
